Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Bunker Security	bettertomorrow	bunker_security.png	Character	Ascended	Enclave Survivors	1		{asc}	1			Fixed	bunker security enclave survivor	This card gains +1 combat damage and Stealth while at the location of a non-Feng Shui Site, or if this card turns to attack from the location of a non-Feng Shui Site, it gains +1 combat damage and Stealth until the end of the attack.	
Old Buzzard	bettertomorrow	old_buzzard.png	Character	Ascended	Sworn Survivor	2		{asc}c	2			Fixed	old buzzard sworn survivor	Sentinel. When an effect generated by an opponent returns a card to play, you may return this card to play.	
Cut-Out	bettertomorrow	cut_out.png	Character	Ascended	Enclave Recruiter	2	{asc}	{asc}	2			Fixed	cut out enclave recruiter	Turn :: Play a Character at -1 cost.	
Street Rat	bettertomorrow	street_rat.png	Character	Ascended	Transformed Hood Survivor	3	{asc}	{asc}	3			Fixed	street rat transformed hood survivor	Stealth. Tactics. When this card inflicts combat damage on a non-Feng Shui Site, you may seize that Site.	
Puppet Dictator	bettertomorrow	puppet_dictator.png	Character	Ascended	Enclave Politician	4	{asc}{asc}	{asc}	5			Fixed	puppet dictator enclave politician	Cannot turn to change location. Cannot be declared as a single attacker. When an opponent controls exactly one Character at this location, reduce all damage inflicted by that Character to 0.	
Enclave Historian	bettertomorrow	enclave_historian.png	Character	Ascended	Creative Archivist	1	{asc}{asc}	{asc}	1			Fixed	enclave historian creative archivist	+1 combat damage for each Edge or Event with a different title in your smoked pile.	
Paratroopers	bettertomorrow	paratroopers.png	Character	Ascended	Enclave Soldiers	3	{asc}{asc}	{asc}	4			Fixed	paratrooper enclave soldier	This card cannot be intercepted during the turn it enters play. When you play an Edge, you may Reload this card.	
Shamali Storm	bettertomorrow	shamali_storm.png	Character	Ascended	Wasteland Survivor Clone	3	{asc}{asc}	{asc}	4			Fixed	shamali storm wasteland survivor clone	Unique. Stealth. During your Main Shot, if this card has not used Stealth this turn, it gains +2 combat damage until the end of the turn.	
Katerina Sa	bettertomorrow	katerina_sa.png	Character	Ascended	Enclave Mentor	5	{asc}{asc}{asc}	{asc}	6			Fixed	katerina sa enclave mentor	Unique. Stealth. When this card enters play, you may target a Character with a cost of 3 or less :: Take control of target while this card is in play.	
Kennedy Rose	bettertomorrow	kennedy_rose.png	Character	Ascended	Martial Artist	6	{asc}{asc}{asc}	{asc}c	9			Fixed	kennedy rose martial artist	Unique. Assassinate. When this card turns to attack, you may target a turned Character :: Smoke target.	
The Professional	bettertomorrow	the_professional.png	Character	Ascended	Wandering Killer	4	{asc}{asc}{asc}{asc}	{asc}	7			Fixed	professional wandering killer	Unique. Lethal. Stealth.	
The Mouse	bettertomorrow	the_mouse.png	Character	Ascended	Master Manipulator	5	{asc}{asc}{asc}{asc}	{asc}{asc}	5			Fixed	mouse master manipulator	Unique. Choose a designator and turn and maintain :: Take control of all Characters with the chosen designator. Any player may pay 2 power to cancel this card until the end of the turn.	
Aquila	bettertomorrow	aquila.png	Character	Ascended	Reascended Eagle	5	{asc}{asc}{asc}tt	{asc}	8			Fixed	aquila reascended eagle	Unique. Superleap. Once per turn, when another Character is smoked at this location, pay power equal to half that Character's cost (rounded up) :: Return that Character to play under your control.	
Long Term Investments	bettertomorrow	long_term_investments.png	Edge	Ascended	Edge	2		{asc}				Fixed	long term investment	When you play a Feng Shui Site or take control of one or more cards, you may put a counter on this card. Remove 3 or more counters and sacrifice :: Gain 3 power.	
Cleaning House	bettertomorrow	cleaning_house.png	Edge	Ascended	Security Edge	1	{asc}					Fixed	cleaning house security	Once per turn when you discard one or more cards from your hand, you may give a Site you control +1 Body until it leaves play.	
Deep Pockets	bettertomorrow	deep_pockets.png	Edge	Ascended	Edge	0	{asc}{asc}{asc}					Fixed	deep pocket	When you spend 3 or more Power at once, you may turn and target a Character :: Target gains +1 Fighting until it leaves play.	
Playing Possum	bettertomorrow	playing_possum.png	Event	Ascended	Event	0	{asc}					Fixed	playing possum	Toast a Character in your smoked pile and choose a different non-Event card in your smoked pile :: Reload the chosen card and gain 1 Power.	
Forged Orders	bettertomorrow	forged_orders.png	Event	Ascended	Event	1	{asc}					Fixed	forged order	Target both an opponent and a Character :: Look at target opponent's hand and you may force them to discard one card of your choice. Inflict X non-combat damage on target Character. X = the printed cost of the discarded card.	
Anonymous Tip	bettertomorrow	anonymous_tip.png	Event	Ascended	Event	0	{asc}{asc}					Fixed	anonymous tip	Play when an attack is declared and target a Character controlled by an opponent:: Target gains Mobility until the end of the attack and must be declared as an interceptor if possible.	
Inside Job	bettertomorrow	inside_job.png	Event	Ascended	Event	3	{asc}{asc}{asc}{asc}					Fixed	inside job	Look at an opponent's hand and choose a card which cannot be played in response to this card :: You may play that card at no cost, ignoring resource conditions, and regardless of type.	
Framed!	bettertomorrow	framed.png	State	Ascended	State	3	{asc}{asc}					Fixed	framed	Play on a Character that requires two or fewer resources. Take control of subject. Toast a Character in your smoked pile when this card enters play, or toast this card.	
Ghillie Suit	bettertomorrow	ghillie_suit.png	State	Ascended	State	3	{asc}{asc}					Fixed	ghillie suit	Not Cumulative. Subject Character gains Assassinate, Stealth, and +3 Fighting. Once per turn, when subject smokes a Character that was the target of its attack, unturn subject.	
Scrapper	bettertomorrow	scrapper.png	Character	Dragons	Wandering Bruiser	1		{dra}	1			Fixed	scrapper wandering bruiser	+1 Fighting and Guts while you control a damaged Character.	
Highway Patrol	bettertomorrow	highway_patrol.png	Character	Dragons	Makeshift Wasteland Cops	2		{dra}t	2			Fixed	highway patrol makeshift wasteland cop	Mobility. You may play this card from your hand as a State with the following rules text: "Vehicle. Subject gains +2 Fighting and Mobility."	
Wasteland Guide	bettertomorrow	wasteland_guide.png	Character	Dragons	Grizzled Survivor	1	{dra}	{dra}	1			Fixed	wasteland guide grizzled survivor	Turn and maintain and target a Character you control :: Target gains Immunity to Events that target.	
Heroic Drunk	bettertomorrow	heroic_drunk.png	Character	Dragons	Bar-Room Brawler	2	{dra}	{dra}	2			Fixed	heroic drunk bar room brawler	Guts. When this card turns to attack, inflict 1 non-combat damage on all Characters in play.	
Van Full of Students	bettertomorrow	van_full_of_students.png	Character	Dragons	Kung Fu Prodigies	2	{dra}	{dra}	2			Fixed	van full student kung fu prodigy	Mobility. Sacrifice :: Put two "Student" tokens into play.	
Max Lancaster	bettertomorrow	max_lancaster.png	Character	Dragons	Genius Skirmisher	3	{dra}	{dra}	4			Fixed	max lancaster genius skirmisher	Unique. Independent. While this card is attacking, opponents with an equal or greater amount of Power than you may not play cards.	
Akiko, Fire of the Phoenix	bettertomorrow	akiko_fire_of_the_phoenix.png	Character	Dragons	Kami Master of Temple Wakahisa	5	{dra}	{dra}	4			Fixed	akiko fire phoenix kami master temple wakahisa	Unique. Cannot be sacrificed. If this card is in your smoked pile at the start of your Establishing Shot, return it to play and inflict 1 non-combat damage on all non-<Fire> Characters.  Your <Fire> Characters inflict +X combat damge. X = the number of different faction resources in your pool.	
