Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Tentacles of the Squid	betteryesterday	tentacles_of_the_squid.png	Character	Ascended	Lodge Enforcers	3	{asc}{asc}	{asc}	4			Fixed	tentacle squid lodge enforcer	+1 combat damage for each Event in your smoked pile with a different title.	
Open Season	betteryesterday	open_season.png	Edge	Ascended	Edge	0	{asc}{asc}					Fixed	open season	All <Assassins>, <Enforcers>, and <Killers> gain Assassinate. All Characters in play may turn to attack other Characters as if they had Independent.	
Bounty	betteryesterday	bounty.png	Edge	Ascended	Killer Edge	1	{asc}{asc}					Fixed	bounty killer	Limited. When one or more Characters you control with Assassinate smoke a Character that is the target of their attack during combat, you gain Power equal to half (round up) the target's cost.	
We Know Where You Live	betteryesterday	we_know_where_you_live.png	Event	Ascended	Event	0	{asc}					Fixed	we know where you live	Play during your Main Shot.  Target an opponent :: Look at target's hand. You may inflict 1 non-combat damage on each card they control that shares a designator with a card in their hand. For every three cards damaged in this way you gain 2 Power.	
Roar of the Beast	betteryesterday	roar_of_the_beast.png	Event	Ascended	Event	3	{asc}{asc}{asc}{asc}					Fixed	roar beast	This card cannot be cancelled by any means. Target a card :: Cancel and smoke target.  (This can include an Event as it is being played.)	
Silver Fist	betteryesterday	silver_fist.png	Character	Dragons	Cosmopolitan Hero	4	{dra}{dra}{dra}	{dra}	6			Fixed	silver fist cosmopolitan hero	Independent. +X Fighting. X = the number of Unique Characters you control.	
"Now You've Made Us Mad"	betteryesterday	now_youve_made_us_mad.png	Event	Dragons	Event	0	{dra}{dra}					Fixed	now youve made us mad	Gain 1 Power for each damaged Character you control.	
That Which Does Not Kill Me…	betteryesterday	that_which_does_not_kill_me.png	Event	Dragons	Event	0	{dra}{dra}					Fixed	that which do not kill me	Play in response to damage from a single source being inflicted on target Character :: Until the end of the turn, target gains Guts and inflicts +X combat damage. X = the amount of damage inflicted on target by that source.	
Baptism of Fire	betteryesterday	baptism_of_fire.png	State	Dragons	State	1	{dra}					Fixed	baptism fire	Play on a Character when damage is inflicted on it. Subject gains +2 Fighting.	
Yellow Geomancer	betteryesterday	yellow_geomancer.png	Character	Guiding Hand	Crafty Monk	1	h	hc	1			Fixed	yellow geomancer crafty monk	Turn and target a Character or Site :: Redirect 1 damage inflicted on any Site to target.	
Yellow Monk	betteryesterday	yellow_monk.png	Character	Guiding Hand	Martial Artist	3	h	hc	4			Fixed	yellow monk martial artist	Once per turn when damage is inflicted on this card, you may redirect 1 damage to any Character in play.	
Festival of Giants	betteryesterday	festival_of_giants.png	Event	Guiding Hand	Event	0	h					Fixed	festival giant	All Characters gain Toughness: 2 until the end of the turn.	
Smoke On The Water	betteryesterday	smoke_on_the_water.png	Event	Guiding Hand	Event	0	h					Fixed	smoke water	Play when you declare an attack. No player may turn more than one Character to change location this attack.	
Blood of the Valiant	betteryesterday	blood_of_the_valiant.png	Event	Guiding Hand	Event	1	hh	h				Fixed	blood valiant	Play during an attack and target an attacking Character :: Until the end of the attack, all combat damage inflicted on target from interceptors is reduced to 0.	
Resistance Squad	betteryesterday	resistance_squad.png	Character	Jammers	Techie Guerrillas	2		{jam}t	2			Fixed	resistance squad techie guerrilla	When this card is in your hand and an opponent attempts to look at your hand or force you to discard a card, you may play this card at no cost in response :: Cancel that effect.	
Fire Woman	betteryesterday	fire_woman.png	Character	Jammers	Crazed Pyromaniac	1	{jam}	{jam}	1			Fixed	fire woman crazed pyromaniac	+1 Fighting for each damaged Feng Shui Site you control.	
Portal Rat	betteryesterday	portal_rat.png	Character	Jammers	Netherworld Saboteur	3	{jam}{jam}	{jam}	4			Fixed	portal rat netherworld saboteur	Stealth. You may declare an Edge as the target of an attack. Only "Portal Rat" Characters may attack it, and it is considered to be at your choice of its controller's locations until the end of the attack. Smoke the Edge if combat damage is inflicted on it.	
