Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
PubOrd Security Drone	rainforestrumble	pubord_security_drone.png	Character	Architects of the Flesh	Cyber Squad	2		{arc}{tek}	2			Fixed	pub ord security drone cyber squad	If this card is in your hand and you have {arc}{arc} in your resource pool, you may discard this card and target a Character :: Target gains Guts and +X combat damage until the end of the turn. X= the damage on target.	
BuroMil Recruiters	rainforestrumble	buromil_recruiters.png	Character	Architects of the Flesh	Ex-Soldier Agents	1	{arc}	{arc}	1			Fixed	buro mil recruiter ex soldier agent	Once per turn, when one or more Characters are smoked during an attack you declared or joined, this card gains +1 Fighting until it leaves play. Once per turn when you play another <Buro> or <Soldier> card, you may draw a card.	
Crimson Nightmares	rainforestrumble	crimson_nightmares.png	Character	Architects of the Flesh	Relentless Abominations	3	{arc}{arc}	{arc}	3			Fixed	crimson nightmare relentless abomination	No Max. Toughness: 1. Guts. When an <Abomination> you control is smoked, you may Reload this card. Upgrade {arc}{arc}5: This card gains +1 Fighting for each <Abomination> card in your smoked pile.	
Curfew Enforcers	rainforestrumble	curfew_enforcers.png	Character	Architects of the Flesh	PubOrd Cops	3	{arc}{arc}	{arc}	4			Fixed	curfew enforcer pub ord cop	Stun. Ambush against turned Characters. Upgrade: {arc}{arc}{arc}5: 7 Fighting. Toughness: 1.	
Kristof Edelmann	rainforestrumble	kristof_edelmann.png	Character	Architects of the Flesh	Mad Scientist	3	{arc}{arc}	{arc}{tek}	4			Fixed	kristof edelmann mad scientist	Unique. Once per turn when you sacrifice or smoke a Character, put an "Abomination" token into play.	
BuroMil Officer	rainforestrumble	buromil_officer.png	Character	Architects of the Flesh	Supersoldier	4	{arc}{arc}{arc}	{arc}	6			Fixed	buro mil officer super soldier	Guts. Tactics. When a Character you control uses Tactics, you may sacrifice that Character :: Gain 1 Power.	
General Andre Ibanez	rainforestrumble	general_andre_ibanez.png	Character	Architects of the Flesh	Supersoldier Mastermind	5	{arc}{arc}{arc}	{arc}{tek}	8			Fixed	general andre ibanez super soldier mastermind	Unique. Tactics. If you have three or more cards in your hand, you may discard your hand and target a Character :: Double that Character's Fighting, and smoke it at the end of the turn.	
Luminescence Force	rainforestrumble	luminescence_force.png	Character	Architects of the Flesh	Irradiated Cyborgs	4	{arc}{arc}{tek}	{arc}{tek}	X			Fixed	luminescence force irradiated cyborg	Corrupted. X = the number of {tek} resources in your pool. Reload: Toast 2 cards in your smoked pile that provide {tek}.	
BuroMil Tactical Training	rainforestrumble	buromil_tactical_training.png	Edge	Architects of the Flesh	Edge	2		{arc}				Fixed	buro mil tactical training	When this card enters play, put a "BuroMil Soldier" token into play. All <Buro> and <Soldier> Characters gain Tactics.	
Overrun	rainforestrumble	overrun.png	Event	Architects of the Flesh	Event	1	{arc}{arc}					Fixed	overrun	Target a Character that is the subject of a <Vehicle> State :: Until the end of the turn, damage inflicted on target by Characters that are not the subject of <Vehicle> States is reduced to 0.	
